uniqueID	rank
200973_s_at	18984.0
200974_at	-1757.0
200975_at	-18069.0
200976_s_at	-10548.0
200977_s_at	-14689.0
200978_at	14843.0
200979_at	13238.0
200980_s_at	17012.0
200981_x_at	16446.0
200982_s_at	20235.0
200983_x_at	19724.0
200984_s_at	20778.0
200985_s_at	18900.0
200986_at	1362.0
200987_x_at	-18174.0
200988_s_at	10994.0
200989_at	13343.0
200990_at	17772.0
200991_s_at	-11220.0
200992_at	12625.0
200993_at	12549.0
200994_at	-15633.0
200995_at	15374.0
200996_at	11500.0
200997_at	-19182.0
200998_s_at	-13936.0
200999_s_at	-15645.0
201000_at	18542.0
201001_s_at	-11688.0
201002_s_at	18471.0
201003_x_at	18476.0
201004_at	13064.0
201005_at	20986.0
201006_at	-2651.0
201007_at	12453.0
201008_s_at	19835.0
201009_s_at	20170.0
201010_s_at	16205.0
201011_at	-10306.0
201012_at	17257.0
201013_s_at	-14034.0
201014_s_at	14210.0
201015_s_at	-12303.0
201016_at	-16872.0
201017_at	-14068.0
201018_at	10410.0
201019_s_at	-14682.0
201020_at	19891.0
201021_s_at	15056.0
201022_s_at	-12233.0
201023_at	11800.0
201024_x_at	-11664.0
201025_at	13642.0
201026_at	-19360.0
201027_s_at	15316.0
201028_s_at	14020.0
201029_s_at	18384.0
201030_x_at	11327.0
201031_s_at	10898.0
201032_at	18623.0
201033_x_at	-11174.0
201034_at	-15020.0
201035_s_at	15129.0
201036_s_at	17484.0
201037_at	11351.0
201038_s_at	-17358.0
201039_s_at	20406.0
201040_at	16945.0
201041_s_at	-18202.0
201042_at	15165.0
201043_s_at	11286.0
201044_x_at	1894.0
201045_s_at	4965.0
201046_s_at	-17870.0
201047_x_at	16971.0
201048_x_at	20487.0
201049_s_at	11519.0
201050_at	20565.0
201051_at	19754.0
201052_s_at	-12639.0
201053_s_at	-16876.0
201054_at	-15761.0
201055_s_at	-19728.0
201056_at	-15245.0
201057_s_at	-12833.0
201058_s_at	-17548.0
201059_at	-17230.0
201060_x_at	-17848.0
201061_s_at	18442.0
201062_at	-982.0
201063_at	19930.0
201064_s_at	-10398.0
201065_s_at	15798.0
201066_at	-12114.0
201067_at	-12740.0
201068_s_at	13013.0
201069_at	-4574.0
201070_x_at	14845.0
201071_x_at	-13360.0
201072_s_at	17150.0
201073_s_at	21738.0
201074_at	16739.0
201075_s_at	19889.0
201076_at	10890.0
201077_s_at	11066.0
201078_at	20148.0
201079_at	-12741.0
201080_at	-15979.0
201081_s_at	21160.0
201082_s_at	15753.0
201083_s_at	10262.0
201084_s_at	18154.0
201085_s_at	-12820.0
201086_x_at	17082.0
201087_at	16839.0
201088_at	-11735.0
201089_at	20259.0
201090_x_at	13904.0
201091_s_at	-13987.0
201092_at	12096.0
201093_x_at	18765.0
201094_at	-11504.0
201095_at	18994.0
201096_s_at	17938.0
201097_s_at	12182.0
201098_at	-15657.0
201099_at	-16511.0
201100_s_at	-15377.0
201101_s_at	18132.0
201102_s_at	13465.0
201103_x_at	16419.0
201104_x_at	20069.0
201105_at	-11139.0
201106_at	-12865.0
201107_s_at	-1024.0
201108_s_at	21697.0
201109_s_at	22088.0
201110_s_at	14573.0
201111_at	-12475.0
201112_s_at	15054.0
201113_at	-10947.0
201114_x_at	-13149.0
201115_at	17278.0
201116_s_at	-14938.0
201117_s_at	-19539.0
201118_at	19217.0
201119_s_at	21360.0
201120_s_at	16100.0
201121_s_at	-10787.0
201122_x_at	14921.0
201123_s_at	14646.0
201124_at	-3601.0
201125_s_at	-22282.0
201126_s_at	-12336.0
201127_s_at	19781.0
201128_s_at	13332.0
201129_at	-18466.0
201130_s_at	-2030.0
201131_s_at	10594.0
201132_at	17502.0
201133_s_at	18902.0
201134_x_at	15533.0
201135_at	-18740.0
201136_at	11436.0
201137_s_at	7181.0
201138_s_at	12618.0
201139_s_at	15284.0
201140_s_at	2139.0
201141_at	-1741.0
201142_at	-10688.0
201143_s_at	15130.0
201144_s_at	-13392.0
201145_at	14127.0
201146_at	12072.0
201147_s_at	-7646.0
201148_s_at	-7372.0
201149_s_at	-8428.0
201150_s_at	-4473.0
201151_s_at	16104.0
201152_s_at	14114.0
201153_s_at	16868.0
201154_x_at	11472.0
201155_s_at	20104.0
201156_s_at	-2121.0
201157_s_at	15893.0
201158_at	16570.0
201159_s_at	-3053.0
201160_s_at	-11914.0
201161_s_at	16554.0
201162_at	-8130.0
201163_s_at	5176.0
201164_s_at	13706.0
201165_s_at	14572.0
201166_s_at	-12484.0
201167_x_at	21777.0
201168_x_at	-12439.0
201169_s_at	20570.0
201170_s_at	20452.0
201171_at	-16387.0
201172_x_at	18426.0
201173_x_at	15715.0
201174_s_at	16684.0
201175_at	17329.0
201176_s_at	16618.0
201177_s_at	-18562.0
201178_at	-12774.0
201179_s_at	19731.0
201180_s_at	11274.0
201181_at	-21648.0
201182_s_at	-12393.0
201183_s_at	15868.0
201184_s_at	15747.0
201185_at	14137.0
201186_at	-19112.0
201187_s_at	-884.0
201188_s_at	18137.0
201189_s_at	11366.0
201190_s_at	-10243.0
201191_at	13252.0
201192_s_at	14062.0
201193_at	15535.0
201194_at	-10299.0
201195_s_at	12601.0
201196_s_at	12960.0
201197_at	20125.0
201198_s_at	-15501.0
201199_s_at	13543.0
201200_at	-15923.0
201201_at	-11454.0
201202_at	-14350.0
201203_s_at	18648.0
201204_s_at	-15788.0
201205_at	20114.0
201206_s_at	12044.0
201207_at	18346.0
201208_s_at	21585.0
201209_at	-10894.0
201210_at	14507.0
201211_s_at	21708.0
201212_at	-13619.0
201213_at	2826.0
201214_s_at	20493.0
201215_at	-11621.0
201216_at	11223.0
201217_x_at	14599.0
201218_at	11866.0
201219_at	15331.0
201220_x_at	-21023.0
201221_s_at	-10784.0
201222_s_at	-19765.0
201223_s_at	-21318.0
201224_s_at	16260.0
201225_s_at	-14284.0
201226_at	19932.0
201227_s_at	-18267.0
201228_s_at	21686.0
201229_s_at	18402.0
201230_s_at	12491.0
201231_s_at	13670.0
201232_s_at	-13598.0
201233_at	17315.0
201234_at	11596.0
201235_s_at	3291.0
201236_s_at	-1124.0
201237_at	15011.0
201238_s_at	18058.0
201239_s_at	15087.0
201240_s_at	10776.0
201241_at	16473.0
201242_s_at	-17653.0
201243_s_at	-10677.0
201244_s_at	18833.0
201245_s_at	17910.0
201246_s_at	-14773.0
201247_at	22029.0
201248_s_at	-6375.0
201249_at	5381.0
201250_s_at	-21714.0
201251_at	18840.0
201252_at	-14871.0
201253_s_at	-22154.0
201254_x_at	18443.0
201255_x_at	-13326.0
201256_at	13888.0
201257_x_at	-11807.0
201258_at	16060.0
201259_s_at	15972.0
201260_s_at	-17045.0
201261_x_at	-9744.0
201262_s_at	1656.0
201263_at	11922.0
201264_at	20059.0
201265_at	2649.0
201266_at	12873.0
201267_s_at	19801.0
201268_at	-11877.0
201269_s_at	-1756.0
201270_x_at	10597.0
201271_s_at	19791.0
201272_at	19201.0
201273_s_at	-11227.0
201274_at	-19491.0
201275_at	16084.0
201276_at	-13876.0
201277_s_at	16362.0
201278_at	-11236.0
201279_s_at	20344.0
201280_s_at	-12556.0
201281_at	18007.0
201282_at	13836.0
201283_s_at	20026.0
201284_s_at	-13762.0
201285_at	16286.0
201286_at	-14222.0
201287_s_at	15598.0
201288_at	16344.0
201289_at	15968.0
201290_at	-13766.0
201291_s_at	12198.0
201292_at	20482.0
201293_x_at	-11993.0
201294_s_at	7451.0
201295_s_at	1679.0
201296_s_at	-15908.0
201297_s_at	11033.0
201298_s_at	-14862.0
201299_s_at	17140.0
201300_s_at	-18221.0
201301_s_at	-11156.0
201302_at	-14614.0
201303_at	13453.0
201304_at	-16382.0
201305_x_at	-14113.0
201306_s_at	-15435.0
201307_at	17433.0
201308_s_at	22039.0
201309_x_at	14134.0
201310_s_at	-11944.0
201311_s_at	16109.0
201312_s_at	10682.0
201313_at	-10973.0
201314_at	-11097.0
201315_x_at	16900.0
201316_at	-13941.0
201317_s_at	13930.0
201318_s_at	11341.0
201319_at	-19298.0
201320_at	19039.0
201321_s_at	-16264.0
201322_at	13088.0
201323_at	-18707.0
201324_at	12413.0
201325_s_at	13265.0
201326_at	-12657.0
201327_s_at	-10770.0
201328_at	16422.0
201329_s_at	-10748.0
201330_at	21167.0
201331_s_at	14418.0
201332_s_at	-8173.0
201333_s_at	-16439.0
201334_s_at	18654.0
201335_s_at	15967.0
201336_at	-10300.0
201337_s_at	12480.0
201338_x_at	11953.0
201339_s_at	-14886.0
201340_s_at	-11502.0
201341_at	17628.0
201342_at	16443.0
201343_at	11342.0
201344_at	-17349.0
201345_s_at	-13958.0
201346_at	16699.0
201347_x_at	15853.0
201348_at	-9464.0
201349_at	-14367.0
201350_at	21841.0
201351_s_at	16383.0
201352_at	-16612.0
201353_s_at	13270.0
201354_s_at	-10323.0
201355_s_at	-1367.0
201356_at	10205.0
201357_s_at	-16125.0
201358_s_at	-15464.0
201359_at	11558.0
201360_at	21051.0
201361_at	18484.0
201362_at	-21594.0
201363_s_at	-14783.0
201364_s_at	18823.0
201365_at	20383.0
201366_at	12384.0
201367_s_at	-9668.0
201368_at	-11446.0
201369_s_at	3558.0
201370_s_at	18715.0
201371_s_at	-14379.0
201372_s_at	2722.0
201373_at	-20847.0
201374_x_at	-7664.0
201375_s_at	-11703.0
201376_s_at	17889.0
201377_at	-11787.0
201378_s_at	17751.0
201379_s_at	18330.0
201380_at	-18162.0
201381_x_at	-12199.0
201382_at	-4771.0
201383_s_at	21142.0
201384_s_at	19425.0
201385_at	-19554.0
201386_s_at	17840.0
201387_s_at	-8385.0
201388_at	19766.0
201389_at	-16629.0
201390_s_at	-14441.0
201391_at	-13494.0
201392_s_at	18785.0
201393_s_at	18138.0
201394_s_at	20070.0
201395_at	10189.0
201396_s_at	-14588.0
201397_at	16107.0
201398_s_at	13350.0
201399_s_at	20030.0
201400_at	16223.0
201401_s_at	21673.0
201402_at	-8556.0
201403_s_at	12702.0
201404_x_at	21443.0
201405_s_at	-14065.0
201406_at	12629.0
201407_s_at	-10512.0
201408_at	-19030.0
201409_s_at	10174.0
201410_at	12707.0
201411_s_at	17370.0
201412_at	12860.0
201413_at	14374.0
201414_s_at	11864.0
201415_at	-12111.0
201416_at	21155.0
201417_at	13237.0
201418_s_at	15419.0
201419_at	13004.0
201420_s_at	13752.0
201421_s_at	-12938.0
201422_at	11233.0
201423_s_at	22158.0
201424_s_at	-18273.0
201425_at	898.0
201426_s_at	10956.0
201427_s_at	1310.0
201428_at	-14040.0
201429_s_at	11762.0
201430_s_at	-16370.0
201431_s_at	12454.0
201432_at	13609.0
201433_s_at	19228.0
201434_at	16106.0
201435_s_at	21054.0
201436_at	15340.0
201437_s_at	13179.0
201438_at	13271.0
201439_at	16294.0
201440_at	11932.0
201441_at	-11426.0
201442_s_at	-2612.0
201443_s_at	-10692.0
201444_s_at	20166.0
201445_at	14675.0
201446_s_at	17034.0
201447_at	-13123.0
201448_at	-19344.0
201449_at	-13359.0
201450_s_at	10361.0
201451_x_at	-4955.0
201452_at	534.0
201453_x_at	-12925.0
201454_s_at	18533.0
201455_s_at	16474.0
201456_s_at	15861.0
201457_x_at	15559.0
201458_s_at	12234.0
201459_at	13801.0
201460_at	-10613.0
201461_s_at	20892.0
201462_at	18794.0
201463_s_at	-15187.0
201464_x_at	11300.0
201465_s_at	21458.0
201466_s_at	-19222.0
201467_s_at	10187.0
201468_s_at	-12919.0
201469_s_at	20256.0
201470_at	-17620.0
201471_s_at	10604.0
201472_at	11505.0
201473_at	-21503.0
201474_s_at	11911.0
201475_x_at	11819.0
201476_s_at	17644.0
201477_s_at	12687.0
201478_s_at	19633.0
201479_at	-10791.0
201480_s_at	-20729.0
201481_s_at	14523.0
201482_at	12945.0
201483_s_at	-16215.0
201484_at	17703.0
201485_s_at	10272.0
201486_at	-14569.0
201487_at	-12162.0
201488_x_at	-17738.0
201489_at	15019.0
201490_s_at	13097.0
201491_at	16833.0
201492_s_at	11777.0
201493_s_at	18195.0
201494_at	-11245.0
201495_x_at	5426.0
201496_x_at	4370.0
201497_x_at	-7463.0
201498_at	-20549.0
201499_s_at	12362.0
201500_s_at	11555.0
201501_s_at	-17212.0
